;date;lhs_belligerents;lhs_leaders;loc;outcome;rhs_leaders;lhs_casualties;lhs_strengths;rhs_casualties;rhs_strengths;rhs_belligerents
Battle of Bai ju;506 BC;Wu (state)	Cai (state)	Wikimedia Error;Wikimedia Error	Fugai	Wikimedia Error	Sun Tzu;Boju, State of Chu (present-day Macheng, Hubei Province);Decisive Wu victory;Nang Wa	Shenyin Shu;Unknown (relatively minor);Between 30,000 and 33,000;Almost entire army killed or captured;Between 200,000 and 300,000;Chu (state)
Battle of Lake Regillus;c. 496 BC;Roman Republic;Aulus Postumius Albus Regillensis (consul 496 BC)	Titus Aebutius Helva;near Frascati (Rome);Decisive Roman victory End of Tarquinian attempts to retake the Roman throne;Octavius Mamilius	Lucius Tarquinius Superbus;;;;;Latin League
Battle of Lade;494 BC;Ionia;Dionysius the Phocaean;Near the island of Lade, off the coast of Miletus;Decisive Persian victory;Datis;246 ships;353 ships (Herodotus);57 ships;600 ships (Herodotus);Achaemenid Empire
Battle of Marathon;August/September (Metageitnion), 490 BC;Classical Athens	Plataea;Miltiades	Callimachus (polemarch)	Aristides	Xanthippus	Pericles	Themistocles	Wikimedia Error	Wikimedia Error;Marathon, Greece38°07′05″N 23°58′42″E﻿ / ﻿38.11806°N 23.97833°ECoordinates: 38°07′05″N 23°58′42″E﻿ / ﻿38.11806°N 23.97833°E;Greek victory Persian forces conquer the Cycladic islands and establish control over the Aegean sea[1] Persian forces driven out of mainland Greece for 10 years[2];Datis	Artaphernes (son of Artaphernes)	Hippias (tyrant);192 Athenians,	11 Plataeans (Herodotus)	1,000–3,000 dead (modern estimates)[4];9,000–10,000 Athenians,	1,000 Plataeans;6,400 dead	7 ships destroyed (Herodotus)	4,000–5,000 dead (modern estimates)[4];25,000 infantry and 1,000 cavalry (modern estimates)[2] (the latter was not engaged)	100,000+ armed oarsmen and sailors (arranged as reserve troops they saw little action, mostly defending the ships)	600 triremes	50+ horse-carriers	200+ supply ships;Achaemenid Empire
Battle of Thermopylae;20 August[1] or 8–10 September[2] 480 BC;Wikimedia Error;Leonidas I	Wikimedia Error;Thermopylae, Greece38°47′48″N 22°32′12″E﻿ / ﻿38.796607°N 22.536714°ECoordinates: 38°47′48″N 22°32′12″E﻿ / ﻿38.796607°N 22.536714°E;Persian victory[a];Xerxes I	Wikimedia Error	Hydarnes II	Artapanus (general);4,000 (Herodotus)[10];Total	5,200 (or 6,100) (Herodotus)	7,400+ (Diodorus)	11,200 (Pausanias)	7,000 (modern est.)[5][6];c. 20,000 (Herodotus)[5];2,641,610 (Herodotus)[7]	70,000–300,000 (modern est.)[8][b][9];Achaemenid Empire
Battle of Artemisium;August 7[1] or September 8–10,[2] 480 BC;Wikimedia Error;Eurybiades	Themistocles	Adeimantus of Corinth;Artemisium, Euboea39°3′0″N 23°12′0″E﻿ / ﻿39.05000°N 23.20000°E;"Tactical stalemate, Persian strategic victory; Persians gain control of Euboea";Achaemenes (satrap)	Wikimedia Error	Wikimedia Error	Wikimedia Error;100 ships lost	Unknown number of marines and oarsmen killed or drowned;271 ships4,065 marines46,070 oarsmen;400 ships lost	Unknown number of marines and oarsmen killed or drowned;1,207 ships36,210 marines205,190 oarsmen;Achaemenid Empire
Battle of Salamis;September, 480 BC;Ancient Greece	City-state;Eurybiades	Themistocles;Straits of Salamis37°57′5″N 23°34′0″E﻿ / ﻿37.95139°N 23.56667°ECoordinates: 37°57′5″N 23°34′0″E﻿ / ﻿37.95139°N 23.56667°E;Greek victory;Xerxes I	Wikimedia Error	Achaemenes (satrap)	Ariabignes	Damasithymus;40 ships;371–378 ships[i];200–300? ships;~900–1207 ships[ii]	600–800 ships[iii]	400–700 ships[iv];Achaemenid Empire
Battle of Himera (480 BC);480 BC;Syracuse, Sicily	Wikimedia Error;Gelon	Theron of Acragas;Himera, Sicily37°58′26.39″N 13°49′26.35″E﻿ / ﻿37.9739972°N 13.8239861°ECoordinates: 37°58′26.39″N 13°49′26.35″E﻿ / ﻿37.9739972°N 13.8239861°E;Decisive Greek victory Syracusan hegemony of Sicily;Hamilcar I of Carthage;Minimal;Unknown	50,000 infantry[1]	5,000 cavalry[1];Heavy;Unknown	300,000[1];Ancient Carthage
Battle of Mycale;August 27, 479 BC;Polis;Leotychidas	Xanthippus	Perilaus (general);Mycale, Ionia37°38′10″N 27°06′28″E﻿ / ﻿37.635985°N 27.107677°E;Decisive Greek victory.;Wikimedia Error	Wikimedia Error	Tigranes (general);Considerable[2];40,000 men,	110-250 ships;Most of the army and all the ships[2];60,000 men,	300 ships;Achaemenid Empire
Battle of Cumae;474 BCE;Syracuse, Sicily	Cumae;Hiero I of Syracuse;In the Bay of Naples;Greek victory;Wikimedia Error;;;;;Etruscan civilization
Battle of the Eurymedon;469 or 466 BCE;Delian League;Cimon;Eurymedon River36°49′48″N 31°10′23″E﻿ / ﻿36.83000°N 31.17306°ECoordinates: 36°49′48″N 31°10′23″E﻿ / ﻿36.83000°N 31.17306°E;Greek victory.;Tithraustes	Pherendatis;Unknown;200 ships;200 ships captured and destroyed;200–350 ships;Achaemenid Empire
Battle of Tanagra (457 BC);457 BC;Athens;Wikimedia Error;Tanagra;Spartan victory;Wikimedia Error;Unknown;14,000 [1];Unknown;11,500[2];Sparta
Siege of Prosoptis;477–449 BC;Delian League;Pericles	Cimon;Mainland Greece, Thrace Asia Minor, Cyprus, and Egypt;Strategic stalemate, Peace of Callias[1];Xerxes I	Artaxerxes I of Persia	Artabazos I of Phrygia	Megabyzus;;;;;Achaemenid Empire
Battle of Jinyang;455 BC – May 8, 453 BC[1];House of Zhi	Wei (state)	Han (state);Zhi Yao;Taiyuan, Shanxi;Zhao victory, Zhi annihilated;Zhao Wuxu;;;;;Zhao (state)	Wei (state)	Han (state)
Battle of Coronea (447 BC);447 BC;Boeotia	City-state;Sparton;Coronea;Boeotian victory;Tolmides;Unknown;Unknown;Unknown;1000 hoplites, others?;Delian League
Battle of Potidaea;432 BC;Athens;Archestratus	Callias II;Potidaea40°11′37″N 23°19′40″E﻿ / ﻿40.1937°N 23.3278°ECoordinates: 40°11′37″N 23°19′40″E﻿ / ﻿40.1937°N 23.3278°E;Athenian victory;Aristeus;150 men;70 ships,	3,000 hoplites,	400 cavalry;300 men;1,600 hoplites,	400 light troops,	200 cavalry;Corinth	Potidaea
Battle of Naupactus (429 BC);429 BC;Athens;Phormio;Off Naupactus;Athenian victory;Cnemus	Brasidas;1 ship captured;20 ships;At least 1 ship sunk, 6 ships captured;77 ships;Peloponnese	League of Corinth	Sparta
Battle of Pylos;425 BC;Athens;Demosthenes (general);Pylos;Athenian victory;Brasidas;8 ships;50 ships	90 hoplites	~540 light troops;18 ships;60 ships	Unknown troops;Sparta
Battle of Delium;424 BC;Athens;Hippocrates of Athens;Delium;Boeotian victory;Pagondas;About 1,200;15,000 total;About 500;18,500 total	7,000 hoplites	1,000 cavalry	500 peltasts	10,000 light troops;Boeotia
Battle of Amphipolis;422 BC;Athens;Cleon	Nicias	Thucydides;Amphipolis;Decisive Spartan victory;Brasidas;About 600;About 2,000;8;About 2,500;Sparta
Battle of Mantinea (418 BC);418 BC;Sparta	Arcadia	Tegea;Agis II;Mantinea37°36′N 22°24′E﻿ / ﻿37.6°N 22.4°ECoordinates: 37°36′N 22°24′E﻿ / ﻿37.6°N 22.4°E;Spartan victory;Laches (general)	Nicostratus (Athenian commander);About 300 Spartans with insignificant other allied casualties;About 9,000 (3,500 Spartans, 600 Sciritae, 2,000 helots (Neodamodes), 3,000 Tegean allies and cavalry);About 1,100 (700 Argives, 200 Mantineans, 200 Athenians and Aeginetans);About 8,000 (3,000 Argives, 1,000 Athenian heavy infantry, 2,000 Mantineans, 1,000 mercenary Arcadians, 1,000 Cleonaeans, Orneans, Aeginetans and other allied infantry and cavalry);Argos	Athens	Mantineia	Arcadia
Battle of Syracuse (415 BC);415–413 BC;Classical Athens	Delian League	Segesta;Nicias	Lamachus	Demosthenes (general)	Eurymedon (strategos);Sicily, Italy;Decisive Spartan/Syracusan victory Athenian expeditionary force completely destroyed;Gylippus	Hermocrates;Entire expeditionary force killed, captured or sold into slavery;Original expedition:	5,100 hoplites	750 Mantineans and Argives	1,300 light and missile troops	30 cavalry	134 triremes[1]	Reinforcements:	5,000 hoplites	Large number of light troops	73 triremes[2];Unknown;Unknown, but included at least 1,200 cavalry and 1,000 Spartans	At least 100 ships;Syracuse, Sicily	Ancient Corinth	Sparta
Battle of Cynossema;411 BC;Athens;Thrasyllus	Thrasybulus;Off Cynossema, in the Thracian Chersonese;Athenian victory;Mindarus;15 ships;76 ships;21 ships;86 ships;Sparta
Battle of Cyzicus;410 BC;Athens;Alcibiades	Thrasybulus	Theramenes;Near Cyzicus, Hellespont, modern-day Turkey;Decisive Athenian victory;Mindarus	Clearchus of Sparta	Hermocrates	Pharnabazus II;Minimal;86 triremes;Entire fleet;80 triremes;Sparta	Achaemenid Empire
Battle of Abydos;November 411 BC;Athens;Thrasybulus	Thrasyllus;Near Abydos, in the Hellespont;Athenian victory;Mindarus;Minimal;74 ships + 18 ships (reinforcement);30 ships;97 ships;Sparta
Battle of Himera (409 BC);409 BC;Himera	Syracuse, Sicily;Diocles of Syracuse;Himera, Sicily;Carthaginian victory, Sack of Himera;Hannibal Mago;3,000 + 3,000 executed;16,000;6,000+;60,000 (Ancient sources);Ancient Carthage
Battle of Notium;406 BC;Sparta;Lysander;Near Ephesus and Notium37°59′34″N 26°50′51″E﻿ / ﻿37.99278°N 26.84750°ECoordinates: 37°59′34″N 26°50′51″E﻿ / ﻿37.99278°N 26.84750°E;Spartan victory;Antiochus (admiral);No Casualties;90 ships;22 ships	(15 captured, 7 sunk);80 ships;Athens
Battle of Gela (405 BC);Summer, 405 BC;Gela	Syracuse, Sicily;Dionysius I of Syracuse	Leptines of Syracuse;Gela, Sicily;Carthaginian Victory;Himilco (general);1,600;estimated 30,000 - 40,000[1];Unknown;estimated 30,000 - 40,000;Ancient Carthage
Battle of Aegospotami;405 BC;Sparta	Corinth	Peloponnesian League;Lysander	Aracus (admiral)	Cleomedes of Samos;Aegospotami, Hellespont(present-day Çanakkale Province, Turkey)40°15′N 26°33′E﻿ / ﻿40.250°N 26.550°ECoordinates: 40°15′N 26°33′E﻿ / ﻿40.250°N 26.550°E;Decisive Spartan victory Athens is besieged and surrenders End of Peloponnesian War;Conon	Philocles	Adeimantus (son of Leucolophides);Minimal;170 ships[2];160 Ships,	3,000 sailors executed[3];180 ships;Athens	Delian League
Battle of Piraeus;403 BC;Athens;Thrasybulus;Piraeus, Attica;Spartan victory;Pausanias of Sparta;Over 180 killed;;Unknown;;Sparta
Battle of Cunaxa;3 September 401 BC [1];Cyrus the Younger;Cyrus the Younger	Clearchus of Sparta	Cheirisophus (general)	Ariaeus;On the banks of the Euphrates near present-day Baghdad, Iraq;Tactical draw Strategic victory for Artaxerxes II Thousands of Greek mercenaries march home against opposition;Artaxerxes II of Persia	Gobrias	Tissaphernes	Orontes I;Minimal, death of Cyrus;Large force of Persian soldiers	10,400 mercenary Greek hoplites	700 Spartan hoplites[2]	2,500 mercenary light infantry and peltasts	1,000 Paphlagonian cavalry	600 bodyguard cavalry	20 scythed chariots;Unknown;40,000[3];Achaemenid Empire
Battle of Catana (397 BC);Summer 397 BC;Ancient Carthage;Mago (fleet commander);Catana, Sicily;Carthaginian victory;Leptines of Syracuse;light;300 Triremes	200 Transports;100 ships sunk/captured	20,000 sailors drowned/captured;180 ships, mostly Quinqueremes;Syracuse, Sicily
Siege of Syracuse (397 BC);Summer of 397 BC to summer of 396 BC;Syracuse, Sicily;Dionysius I of Syracuse	Leptines of Syracuse;Syracuse, Sicily, Italy;Greek victory;Himilco (general)	Mago II of Carthage;Unknown, less than the Carthaginians;30,000 troops	80 quinqueremes	30 triremes;Unknown, plague killed majority of troops;50,000 troops	40 quinqueremes	200 triremes	2,000 transports;Ancient Carthage
Battle of Cnidus;394 BC;Achaemenid Empire;Conon	Pharnabazus II;Off the coast of Cnidus, in the Aegean Sea36°41′09″N 27°22′30″E﻿ / ﻿36.68583°N 27.37500°ECoordinates: 36°41′09″N 27°22′30″E﻿ / ﻿36.68583°N 27.37500°E;Decisive Achaemenid victory;Peisander (general);Minimal;90 triremes;Entire fleet;85 triremes;Sparta
Battle of the Elleporus;389 BC;Syracuse, Sicily;Dionysius I of Syracuse;Stilaro river, Calabria;Syracusan Victory;Heloris;;23,000;7,000;17,000;Italiotes
Battle of Tegyra;375 BC;Thebes, Greece;Pelopidas;Tegyra, near Orchomenus, Boeotia38°32′03″N 22°57′28″E﻿ / ﻿38.534199°N 22.957728°ECoordinates: 38°32′03″N 22°57′28″E﻿ / ﻿38.534199°N 22.957728°E;Theban victory;Gorgoleon	Theopompus (Spartan general);Low;300 infantry, 200 cavalry;Moderate;1,000-1,800;Sparta
Battle of Leuctra;6 July 371 BC[1];Boeotia	Thebes, Greece;Epaminondas;Boeotia38°15′53″N 23°10′27″E﻿ / ﻿38.26466°N 23.17428°ECoordinates: 38°15′53″N 23°10′27″E﻿ / ﻿38.26466°N 23.17428°E;Decisive Theban victory;Cleombrotus I;300 (according to Diodorus)	47 (according to Pausanias);6,000–7,000 hoplites	1,500 cavalry;1,000 (according to Xenophon)	4,000+ (according to Diodorus);10,000–11,000 hoplites	1,000 cavalry;Sparta
Siege of Theodosia (c. 365 BC);circ. 365 BC;Heraclea Pontica;Tynnichus;Theodosia, Bosporus;Heracleote Victory;Leukon I;Low;1 Trireme	1 transport	3 rowboats	Less than 200 men;Low;;Bosporan Kingdom
Battle of Mantinea (362 BC);July 4 362 BC;Thebes, Greece	Arcadia	Boeotia;Epaminondas;Mantinea, Arcadia37°36′N 22°24′E﻿ / ﻿37.6°N 22.4°ECoordinates: 37°36′N 22°24′E﻿ / ﻿37.6°N 22.4°E;"Theban tactical victory; Both sides claim victory Epaminondas killed End of the Theban hegemony in Greece";Agesilaus II;;;;;Sparta	Classical Athens	Elis	Mantineia
Battle of Crocus Field;353 or 352 BC;Macedonia (ancient kingdom)	Thessalian League;Philip II of Macedon;Thessaly, Greece;Macedonian victory.;Onomarchus	Chares of Athens;;20,000 foot	3,000 horse [1];up to 9,000 dead;20,000 foot	500 horse;Phocis	Athens
Battle of Guiling;354–353 BC;Qi (state)	Zhao (state);Tian Ji	Sun Bin;Handan, Daliang, and Guiling(Modern-day Handan, Kaifeng and Changyuan of Henan);Qi victory;Pang Juan;9,000;80,000;21,000;80,000;Wei (state)
Battle of Pelusium (343 BC);343BC;Thirtieth Dynasty of Egypt;Nectanebo II;Pelusium31°02′30″N 32°32′42″E﻿ / ﻿31.041667°N 32.545°ECoordinates: 31°02′30″N 32°32′42″E﻿ / ﻿31.041667°N 32.545°E;Decisive Persian victory;Artaxerxes III;;120,000	100,000 Egyptians	20,000 Greek Mercenaries[1];;344,000	330,000 Persians	14,000 Greek Mercenaries[1] [2];Achaemenid Empire
Battle of Maling;342 BC;Qi (state);Tian Ji	Sun Bin;Dazhangjia Town (大張家鎮), Shen County (莘縣), Henan Province;Qi Victory;Pang Juan	Crown Prince Shen;2,100;120,000;100,000 dead;100,000 cavalry and infantry;Wei (state)
Battle of Chaeronea (338 BC);August 2, 338 BC;Macedonia (ancient kingdom)	Thessaly	Argos	Arcadia;Philip II of Macedon	Alexander the Great;Chaeronea, Boeotia, Greece38°21′N 22°58′E﻿ / ﻿38.350°N 22.967°ECoordinates: 38°21′N 22°58′E﻿ / ﻿38.350°N 22.967°E;Decisive Macedonian victory;Chares of Athens	Wikimedia Error	Athens	Wikimedia Error;unknown;30,000 infantry,	2,000 cavalry;~2,000 dead, ~4,000 captured;35,000;Athens	Thebes, Greece	Corinth	Megara	Achaea (ancient region)	Chalcis	Epidaurus	Acarnania	Troezen
Siege of Pelium;December 335 BC;Macedonia (ancient kingdom)	Greeks;Alexander the Great	Hephaestion;Pelion (Chaonia) in modern-day Albania;Macedonian victory;Glaucias of Taulantii	Wikimedia Error;;15,000;;Unknown;Illyrians	Wikimedia Error	Wikimedia Error
